,,num_critic_for_reviews,duration
,,sum,mean
color,director_name,,
Color,Charles Stone III,127.0,111.0
Color,Charles T. Kanganis,5.0,93.0
Color,Charlie Kaufman,245.0,124.0
Color,Charlie Levi,0.0,90.0
Color,Chatrichalerm Yukol,31.0,300.0
Color,Cheryl Dunye,33.0,86.0
Color,Chia-Liang Liu,77.0,102.0
Color,Chris Atkins,21.0,103.0
Color,Chris Buck,406.0,102.0
Color,Chris Butler,328.0,92.0
Color,Chris Carter,270.0,108.0
Color,Chris Columbus,1567.0,127.0909090909091
Color,Chris D'Arienzo,34.0,95.0
Color,Chris Eyre,56.0,89.0
Color,Chris Gorak,195.0,89.0
Color,Chris Kentis,453.0,82.5
Color,Chris Koch,123.0,95.0
Color,Chris Marker,16.0,59.0
Color,Chris Miller,473.0,91.5
Color,Chris Nahon,116.0,98.0
Color,Chris Noonan,203.0,89.5
Color,Chris Paine,87.0,92.0
Color,Chris Roberts,85.0,100.0
Color,Chris Robinson,54.0,105.0
Color,Chris Rock,302.0,97.0
Color,Chris Shadley,25.0,83.0
Color,Chris Stokes,72.0,88.0
Color,Chris Wedge,559.0,98.66666666666667
Color,Chris Weitz,863.0,105.8
Color,Christian Alvart,386.0,108.5
Color,Christian Carion,115.0,116.0
Color,Christian Ditter,148.0,110.0
Color,Christian Duguay,163.0,104.5
Color,Christian E. Christiansen,138.0,91.0
Color,Christian Sesma,6.0,82.0
Color,Christian Volckman,112.0,105.0
Color,Christine Jeffs,195.0,91.0
Color,Christophe Ali,7.0,79.0
Color,Christophe Barratier,112.0,97.0
Color,Christophe Gans,267.0,132.0
Color,Christopher Cain,93.0,109.0
Color,Christopher Erskin,45.0,97.0
Color,Christopher Guest,410.0,87.75
Color,Christopher Hutson,8.0,95.0
Color,Christopher Landon,220.0,101.0
Color,Christopher Leitch,29.0,95.0
Color,Christopher M. Bessette,6.0,88.0
Color,Christopher McQuarrie,969.0,126.66666666666667
Color,Christopher Morris,246.0,97.0
Color,Christopher Nolan,3816.0,144.14285714285714
Color,Christopher Scott Cherot,25.0,84.0
Color,Christopher Smith,356.0,94.5
Color,Christopher Spencer,61.0,170.0
Color,Chuck Bowman,32.0,89.0
Color,Chuck Russell,559.0,102.66666666666667
Color,Chuck Sheetz,44.0,82.0
Color,Ciarán Foy,189.0,97.0
Color,Clare Kilner,149.0,95.5
Color,Clark Baker,1.0,14.0
Color,Clark Gregg,159.0,92.0
